nbfc_name,playstore_name,app_id,type
Bajaj Finserv,Bajaj Finserv: Loans & UPI,org.altruist.bajajexperia,nbfc
KreditBee,KreditBee: Personal Loans & UPI,com.kreditbee.android,nbfc
Home Credit,Home Credit: Personal Loan App,com.portal.hcin,nbfc
Indel Money,Indel Money,com.lcode.indelmoney,nbfc
CASHe,CASHe: Quick Personal Loan App,co.tslc.cashe.android,nbfc
Navi Loan,Navi: UPI Insurance & Loans,com.naviapp,nbfc
mPokket,mPokket: Instant Loan App,com.mpokket.app,nbfc
FlexSalary,FlexSalary Instant Loan App,com.flexsalary,nbfc
Lendingkart,Lendingkart: Business Loan App,com.lendingkart,nbfc
Hero FinCorp,Hero FinCorp - Customer App,com.customer.herofincorp,nbfc
Clix Capital,Clix,com.clixsocial.clixappbeta,nbfc
Oxyzo Finance,Oxyzo: Business Loan App,in.oxyzo.app,nbfc
Northern Arc Capital,NORTHERN ARC CAPITAL LIMITED,com.northernarc.rlo,nbfc
Piramal Finance,Piramal Finance - Loans & More,com.piramal.app.pchf,nbfc
Tata Capital,Tata Capital Loan App & Wealth,com.snapwork.tcl,nbfc
Rupeek,Online Gold Loan : Rupeek,com.rupeek.customer,nbfc
MoneyTap,MoneyTap - Credit Loan Payments,com.mycash.moneytap.app,nbfc partnership
Freo (MoneyTap rebrand),Freo - UPI & Insurance & Loans,com.moneytap.bnpl.app,nbfc partnership
PaySense,PaySense: Personal Loan App,com.gopaysense.android.boost,nbfc partnership
EarlySalary,Quick Easy Personal Loan Fibe,com.earlysalary.android,nbfc partnership
True Balance,True Balance - Personal Loan & UPI,com.balancehero.truebalance,nbfc partnership
Buddy Loan,Buddy Loan - Personal Loan App,com.buddyloan.vls,nbfc partnership
Slice,slice: UPI credit card & bank,indwin.c3.shareapp,nbfc partnership
Dhani Loan,Dhani Loan App Dhani: UPI & Cards & Bills,com.indiabulls,nbfc partnership
Branch Loan,Branch: Personal Loan App,com.branch_international.branch.branch_demo_android,nbfc partnership
SmartCoin,Olyv: Loans & Credit Score,in.rebase.app,nbfc partnership
PayU Paylater,LazyPay: Loan App & Pay Later,com.citrus.citruspay,nbfc partnership
ZestMoney,ZestMoney - Shop on easy EMIs,in.zestmoney.android.zestlife,nbfc partnership
OneMoney,Onemoney,com.onemoney.loan,nbfc partnership
MoneyView,Moneyview: UPI & Personal Loans,com.whizdm.moneyview.loans,nbfc partnership
LoanTap,LoanTap - Personal Loan App,in.loantap.app,nbfc partnership
FlexiCredit,FlexPay: Personal Loan App,in.india.upi.flexpay,nbfc partnership
